,date,count,Index,WeekDayIndex,WeekDayAvg,Remaining1
0,2007-02-07,-5.49615638040852,0,0,1.41782211421513,-6.91397849462366
1,2007-02-08,-6.49615638040852,1,1,0.863290624199773,-7.35944700460829
2,2007-02-09,-6.49615638040852,2,2,1.8955486887159,-8.39170506912442
3,2007-02-10,-6.49615638040852,3,3,1.18076669651456,-7.67692307692308
4,2007-02-11,-6.49615638040852,4,4,-6.16384868810083,-0.332307692307692
5,2007-02-12,-6.49615638040852,5,5,0.422305158053017,-6.91846153846154
6,2007-02-13,-6.49615638040852,6,6,0.377689773437632,-6.87384615384615
7,2007-02-14,-6.49615638040852,7,0,1.41782211421513,-7.91397849462366
8,2007-02-15,-6.49615638040852,8,1,0.863290624199773,-7.35944700460829
9,2007-02-16,-6.49615638040852,9,2,1.8955486887159,-8.39170506912442
10,2007-02-17,-6.49615638040852,10,3,1.18076669651456,-7.67692307692308
11,2007-02-18,-6.49615638040852,11,4,-6.16384868810083,-0.332307692307692
12,2007-02-19,-6.49615638040852,12,5,0.422305158053017,-6.91846153846154
13,2007-02-20,-6.49615638040852,13,6,0.377689773437632,-6.87384615384615
14,2007-02-21,-6.49615638040852,14,0,1.41782211421513,-7.91397849462366
15,2007-02-22,-6.49615638040852,15,1,0.863290624199773,-7.35944700460829
16,2007-02-23,-6.49615638040852,16,2,1.8955486887159,-8.39170506912442
17,2007-02-24,-6.49615638040852,17,3,1.18076669651456,-7.67692307692308
18,2007-02-25,-6.49615638040852,18,4,-6.16384868810083,-0.332307692307692
19,2007-02-26,-6.49615638040852,19,5,0.422305158053017,-6.91846153846154
20,2007-02-27,-5.49615638040852,20,6,0.377689773437632,-5.87384615384615
21,2007-02-28,-6.49615638040852,21,0,1.41782211421513,-7.91397849462366
22,2007-03-01,-6.49615638040852,22,1,0.863290624199773,-7.35944700460829
23,2007-03-02,-6.49615638040852,23,2,1.8955486887159,-8.39170506912442
24,2007-03-03,-6.49615638040852,24,3,1.18076669651456,-7.67692307692308
25,2007-03-04,-6.49615638040852,25,4,-6.16384868810083,-0.332307692307692
26,2007-03-05,-6.49615638040852,26,5,0.422305158053017,-6.91846153846154
27,2007-03-06,-6.49615638040852,27,6,0.377689773437632,-6.87384615384615
28,2007-03-07,-5.49615638040852,28,0,1.41782211421513,-6.91397849462366
29,2007-03-08,-6.49615638040852,29,1,0.863290624199773,-7.35944700460829
30,2007-03-09,-5.49615638040852,30,2,1.8955486887159,-7.39170506912442
31,2007-03-10,-6.49615638040852,31,3,1.18076669651456,-7.67692307692308
32,2007-03-11,-6.49615638040852,32,4,-6.16384868810083,-0.332307692307692
33,2007-03-12,-6.49615638040852,33,5,0.422305158053017,-6.91846153846154
34,2007-03-13,-6.49615638040852,34,6,0.377689773437632,-6.87384615384615
35,2007-03-14,-6.49615638040852,35,0,1.41782211421513,-7.91397849462366
36,2007-03-15,-6.49615638040852,36,1,0.863290624199773,-7.35944700460829
37,2007-03-16,-6.49615638040852,37,2,1.8955486887159,-8.39170506912442
38,2007-03-17,-6.49615638040852,38,3,1.18076669651456,-7.67692307692308
39,2007-03-18,-6.49615638040852,39,4,-6.16384868810083,-0.332307692307692
40,2007-03-19,-6.49615638040852,40,5,0.422305158053017,-6.91846153846154
41,2007-03-20,-6.49615638040852,41,6,0.377689773437632,-6.87384615384615
42,2007-03-21,-5.49615638040852,42,0,1.41782211421513,-6.91397849462366
43,2007-03-22,-6.49615638040852,43,1,0.863290624199773,-7.35944700460829
44,2007-03-23,-6.49615638040852,44,2,1.8955486887159,-8.39170506912442
45,2007-03-24,-6.49615638040852,45,3,1.18076669651456,-7.67692307692308
46,2007-03-25,-6.49615638040852,46,4,-6.16384868810083,-0.332307692307692
47,2007-03-26,-6.49615638040852,47,5,0.422305158053017,-6.91846153846154
